"","X","ID.2","ID.3","Gender","Liv.situation","Work.wors","Work.imp","Privat.wors","Privat.imp","Contract.change","Work.quant","Care.quant","Free.quant","mwb.cat","Ovrl_HO","Work_time","Caring_duties","Freetime","Age.cat","srh","Country","Age.num","Work.wors.3","Work.imp.3","Privat.wors.3","Privat.imp.3","edu.na"
"50",50,4128585926643,5269617426423,"Female","Partner/Family/Flatshare","1","3","1","5",1,3,3,4,"1",1,"Unchanged","Unchanged","Increased","51-60","3","Germany",52,"1","2","1","3",3
"51",51,3626241106446,4628437839606,"Male","Alone","3","3","1","1",1,3,3,4,"1",1,"Unchanged","Unchanged","Increased","41-50","3","Germany",43,"2","2","1","1",3
"52",52,4286411373447,5471061635067,"Female","Alone","2","3","2","2",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","31-40","3","Germany",35,"1","2","1","1",3
"53",53,3577460920542,4566176105862,"Female","Alone","1","1","3","1",1,3,3,1,"1",1,"Unchanged","Unchanged","Decreased","31-40","4","Germany",34,"1","1","2","1",NA
"54",54,3794854476240,4843651466640,"Male","Partner/Family/Flatshare","4","1","1","4",1,4,5,1,"1",2,"Increased","Increased","Decreased","18-30","3","Germany",29,"3","1","1","3",6
"55",55,4032380402748,5146823250828,"Female","Alone","5","1","5","1",3,1,1,1,"1",1,"Decreased","Decreased","Decreased","61-65","2","Germany",61,"3","1","3","1",5
"56",56,4070001298140,5194841562540,"Female","Partner/Family/Flatshare","1","2","4","2",1,4,3,2,"1",1,"Increased","Unchanged","Decreased","51-60","2","Germany",56,"1","1","3","1",6
"57",57,4299962264748,5488357632828,"Male","Partner/Family/Flatshare","4","1","5","1",2,2,3,1,"1",2,"Decreased","Unchanged","Decreased","51-60","1","Germany",55,"3","1","3","1",6
"58",58,4372410992940,5580829265340,"Female","Alone","5","1","4","3",3,1,3,5,"1",1,"Decreased","Unchanged","Increased","51-60","3","Germany",53,"3","1","3","2",3
"59",59,3896094485844,4972871526084,"Female","Partner/Family/Flatshare","4","2","2","4",2,2,5,4,"1",2,"Decreased","Increased","Increased","41-50","3","Germany",41,"3","1","1","3",3
"60",60,3751057141344,4787749711584,"Male","Alone","1","1","1","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","31-40","3","Germany",40,"1","1","1","1",5
"61",61,3861028150749,4928113787289,"Male","Alone","1","1","1","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","31-40","2","Germany",38,"1","1","1","1",5
"62",62,4048288261047,5167127618667,"Female","Partner/Family/Flatshare","4","3","5","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","31-40","4","Germany",35,"3","2","3","1",6
"63",63,4284148694742,5468173612062,"Male","Partner/Family/Flatshare","4","1","3","3",2,1,3,5,"1",1,"Decreased","Unchanged","Increased","51-60","2","Germany",60,"3","1","2","2",3
"64",64,4403944610145,5621077936845,"Female","Alone","1","1","1","1",1,3,3,3,"1",1,"Unchanged","Unchanged","Unchanged","51-60","4","Germany",59,"1","1","1","1",5
"65",65,3773998614348,4817031598428,"Female","Alone","5","1","5","1",1,3,3,4,"1",3,"Unchanged","Unchanged","Increased","51-60","4","Germany",57,"3","1","3","1",3
"66",66,4065737719140,5189399643540,"Male","Alone","5","1","5","1",1,4,3,2,"1",1,"Increased","Unchanged","Decreased","51-60","2","Germany",56,"3","1","3","1",3
"67",67,3978816828345,5078456127045,"Female","Partner/Family/Flatshare","3","3","3","3",1,3,5,1,"1",1,"Unchanged","Increased","Decreased","51-60","3","Germany",52,"2","2","2","2",NA
"68",68,3807501097149,4859793277689,"Female","Partner/Family/Flatshare","3","3","3","3",1,3,5,3,"1",2,"Unchanged","Increased","Unchanged","41-50","3","Germany",47,"2","2","2","2",5
"69",69,4340263295745,5539796798445,"Female","Partner/Family/Flatshare","5","1","3","1",2,2,5,4,"1",1,"Decreased","Increased","Increased","41-50","3","Germany",46,"3","1","2","1",6
"70",70,4195896223248,5355530501328,"Male","Partner/Family/Flatshare","5","1","1","1",1,4,5,2,"1",1,"Increased","Increased","Decreased","41-50","2","Germany",44,"3","1","1","1",3
"71",71,4155855929244,5304424133484,"Male","Partner/Family/Flatshare","4","2","3","3",1,4,3,3,"1",1,"Increased","Unchanged","Unchanged","31-40","3","Germany",32,"3","1","2","2",NA
"72",72,4418694430542,5639904215862,"Female","Alone","3","1","4","1",2,4,3,2,"1",2,"Increased","Unchanged","Decreased","18-30","5","Germany",30,"2","1","3","1",4
